Date;Kalenderbereinigt;Bread,flour,pasta,cereals,pastry;Meat;FischeundMeeresfrüchte;Milk, Cheese, Eggs;Edible fats&-oils;Fruits;Vegtables;Sugar,Marmelade,Honey,Sweets;SonstigeNahrungsmittel;Non-alcoholic beverages;Alcoholic beverages;Tobacco
01.01.2000; 82.1 ; 98.3 ; 87.5 ; 94.9 ; 101.9 ; 91.1 ; 88.6 ; 102.2 ; 95.2 ; 100.7 ; 101.8 ; 95.8 ; 54.1 
01.02.2000; 82.7 ; 98.2 ; 88.2 ; 94.9 ; 101.8 ; 91.0 ; 90.0 ; 108.0 ; 95.1 ; 100.7 ; 101.8 ; 95.8 ; 54.1 
01.03.2000; 82.2 ; 98.2 ; 88.5 ; 94.7 ; 101.9 ; 91.0 ; 91.3 ; 103.3 ; 95.0 ; 100.8 ; 101.0 ; 96.0 ; 54.2 
01.04.2000; 83.7 ; 98.2 ; 90.0 ; 95.1 ; 101.8 ; 91.0 ; 91.5 ; 105.4 ; 95.0 ; 100.8 ; 100.8 ; 96.0 ; 54.2 
01.05.2000; 82.7 ; 98.2 ; 90.5 ; 95.8 ; 101.8 ; 91.0 ; 90.9 ; 105.7 ; 94.8 ; 100.8 ; 100.9 ; 96.0 ; 54.2 
01.06.2000; 80.8 ; 97.9 ; 91.7 ; 95.3 ; 101.4 ; 91.0 ; 94.0 ; 105.3 ; 95.0 ; 101.9 ; 102.4 ; 97.0 ; 55.2 
01.07.2000; 82.7 ; 97.7 ; 91.7 ; 95.5 ; 101.7 ; 90.3 ; 90.2 ; 100.4 ; 93.4 ; 101.9 ; 102.7 ; 97.0 ; 55.2 
01.08.2000; 82.8 ; 98.5 ; 91.6 ; 96.1 ; 101.6 ; 91.1 ; 90.2 ; 100.8 ; 94.9 ; 101.9 ; 102.6 ; 97.0 ; 55.2 
01.09.2000; 83.0 ; 98.1 ; 91.9 ; 95.2 ; 101.5 ; 90.7 ; 91.6 ; 97.4 ; 95.2 ; 101.9 ; 101.8 ; 97.2 ; 55.5 
01.10.2000; 83.2 ; 97.7 ; 91.7 ; 95.6 ; 101.0 ; 90.9 ; 90.8 ; 95.8 ; 94.7 ; 101.9 ; 102.5 ; 97.2 ; 55.5 
01.11.2000; 82.7 ; 98.0 ; 92.0 ; 95.8 ; 101.4 ; 90.8 ; 89.1 ; 96.6 ; 94.9 ; 101.9 ; 103.1 ; 97.2 ; 55.5 
01.12.2000; 83.0 ; 96.2 ; 91.2 ; 97.1 ; 101.3 ; 89.6 ; 89.8 ; 96.2 ; 95.0 ; 101.7 ; 103.0 ; 96.6 ; 55.5 
01.01.2001; 83.3 ; 97.8 ; 91.9 ; 98.3 ; 102.0 ; 89.1 ; 90.2 ; 99.1 ; 95.4 ; 101.7 ; 103.1 ; 96.6 ; 55.5 
01.02.2001; 83.7 ; 98.8 ; 91.6 ; 98.5 ; 102.4 ; 90.6 ; 90.3 ; 98.7 ; 95.2 ; 101.7 ; 103.0 ; 96.6 ; 55.5 
01.03.2001; 83.7 ; 98.8 ; 91.9 ; 98.3 ; 102.3 ; 91.1 ; 90.3 ; 100.2 ; 94.6 ; 103.1 ; 102.6 ; 97.5 ; 56.6 
01.04.2001; 82.6 ; 98.9 ; 92.6 ; 98.3 ; 102.4 ; 90.6 ; 90.2 ; 104.3 ; 95.4 ; 103.1 ; 102.6 ; 97.5 ; 56.6 
01.05.2001; 84.1 ; 98.7 ; 92.4 ; 100.3 ; 102.5 ; 91.2 ; 91.1 ; 109.5 ; 92.8 ; 103.1 ; 102.3 ; 97.5 ; 56.6 
01.06.2001; 84.4 ; 98.8 ; 94.7 ; 100.5 ; 102.9 ; 93.3 ; 96.8 ; 111.5 ; 96.0 ; 102.9 ; 103.2 ; 97.4 ; 56.5 
01.07.2001; 83.7 ; 99.4 ; 93.9 ; 100.1 ; 103.3 ; 93.5 ; 97.8 ; 107.3 ; 96.2 ; 102.9 ; 103.4 ; 97.4 ; 56.5 
